Region_Key,Environment_Key,Server_Key,Service_Key,Region_1,Region_2,LOC1,LOC2,Environment,Server_Name,Domain_Name,Purpose,Service_Name,Install_Location,Start_Order,Stop_Order,Start_Flag,Stop_Flag,Start_Wait,Stop_Wait,/bin64,/wlp
1,1,1,11,US,OH,East,2a,DEV,USOHCOGAPP901,.aws.baxter.com,GW,IIS RESET for WEB,D$\Program Files\ibm\cognos\analytics\GW,,,,,,,,
1,1,1,12,US,OH,East,2a,DEV,USOHCOGAPP901,.aws.baxter.com,CM,IBM Cognos Analytics CM:9000,D$\Program Files\ibm\cognos\analytics\CM,1,2,1,1,15,,,
1,1,1,1,US,OH,East,2a,DEV,USOHCOGAPP901,.aws.baxter.com,APP,IBM Cognos Analytics DISP01:9100,D$\Program Files\ibm\cognos\analytics\DISP01,2,1,1,1,5,5,,
1,1,1,2,US,OH,East,2a,DEV,USOHCOGAPP901,.aws.baxter.com,APP,IBM Cognos Analytics DISP02:9200,D$\Program Files\ibm\cognos\analytics\DISP02,3,1,1,1,5,5,,
1,1,1,3,US,OH,East,2a,DEV,USOHCOGAPP901,.aws.baxter.com,APP,IBM Cognos Analytics DISP03:9300,D$\Program Files\ibm\cognos\analytics\DISP03,7,1,1,1,5,5,,
1,1,1,4,US,OH,East,2a,DEV,USOHCOGAPP901,.aws.baxter.com,APP,IBM Cognos Analytics DISP04:9400,D$\Program Files\ibm\cognos\analytics\DISP04,5,1,1,1,5,5,,
1,1,1,5,US,OH,East,2a,DEV,USOHCOGAPP901,.aws.baxter.com,APP,IBM Cognos Analytics DISP05:9500,D$\Program Files\ibm\cognos\analytics\DISP05,9,1,1,1,5,5,,
1,1,1,6,US,OH,East,2a,DEV,USOHCOGAPP901,.aws.baxter.com,APP,IBM Cognos Analytics DISP06:9600,D$\Program Files\ibm\cognos\analytics\DISP06,4,1,1,1,5,5,,
1,1,1,7,US,OH,East,2a,DEV,USOHCOGAPP901,.aws.baxter.com,APP,IBM Cognos Analytics DISP07:9700,D$\Program Files\ibm\cognos\analytics\DISP07,8,1,1,1,5,5,,
1,1,1,8,US,OH,East,2a,DEV,USOHCOGAPP901,.aws.baxter.com,APP,IBM Cognos Analytics DISP08:9800,D$\Program Files\ibm\cognos\analytics\DISP08,6,1,1,1,5,5,,
1,1,1,9,US,OH,East,2a,DEV,USOHCOGAPP901,.aws.baxter.com,APP,IBM Cognos Analytics DISP09:9900,D$\Program Files\ibm\cognos\analytics\DISP09,10,1,1,1,5,5,,
1,1,1,10,US,OH,East,2a,DEV,USOHCOGAPP901,.aws.baxter.com,APP,IBM Cognos Analytics DISP10:10000,D$\Program Files\ibm\cognos\analytics\DISP10,11,1,0,0,5,5,,
1,1,2,11,US,OH,East,2a,DEV,USOHCOGAPP902,.aws.baxter.com,GW,IIS RESET for WEB,D$\Program Files\ibm\cognos\analytics\GW,,,,,,,,
1,1,2,12,US,OH,East,2b,DEV,USOHCOGAPP902,.aws.baxter.com,CM,IBM Cognos Analytics CM:9000,D$\Program Files\ibm\cognos\analytics\CM,12,1,1,1,5,5,,
1,1,2,1,US,OH,East,2b,DEV,USOHCOGAPP902,.aws.baxter.com,APP,IBM Cognos Analytics DISP01:9100,D$\Program Files\ibm\cognos\analytics\DISP01,2,1,1,1,5,5,,
1,1,2,2,US,OH,East,2b,DEV,USOHCOGAPP902,.aws.baxter.com,APP,IBM Cognos Analytics DISP02:9200,D$\Program Files\ibm\cognos\analytics\DISP02,3,1,1,1,5,5,,
1,1,2,3,US,OH,East,2b,DEV,USOHCOGAPP902,.aws.baxter.com,APP,IBM Cognos Analytics DISP03:9300,D$\Program Files\ibm\cognos\analytics\DISP03,7,1,1,1,5,5,,
1,1,2,4,US,OH,East,2b,DEV,USOHCOGAPP902,.aws.baxter.com,APP,IBM Cognos Analytics DISP04:9400,D$\Program Files\ibm\cognos\analytics\DISP04,5,1,1,1,5,5,,
1,1,2,5,US,OH,East,2b,DEV,USOHCOGAPP902,.aws.baxter.com,APP,IBM Cognos Analytics DISP05:9500,D$\Program Files\ibm\cognos\analytics\DISP05,9,1,1,1,5,5,,
1,1,2,6,US,OH,East,2b,DEV,USOHCOGAPP902,.aws.baxter.com,APP,IBM Cognos Analytics DISP06:9600,D$\Program Files\ibm\cognos\analytics\DISP06,4,1,1,1,5,5,,
1,1,2,7,US,OH,East,2b,DEV,USOHCOGAPP902,.aws.baxter.com,APP,IBM Cognos Analytics DISP07:9700,D$\Program Files\ibm\cognos\analytics\DISP07,8,1,1,1,5,5,,
1,1,2,8,US,OH,East,2b,DEV,USOHCOGAPP902,.aws.baxter.com,APP,IBM Cognos Analytics DISP08:9800,D$\Program Files\ibm\cognos\analytics\DISP08,6,1,1,1,5,5,,
1,1,2,9,US,OH,East,2b,DEV,USOHCOGAPP902,.aws.baxter.com,APP,IBM Cognos Analytics DISP09:9900,D$\Program Files\ibm\cognos\analytics\DISP09,10,1,1,1,5,5,,
1,1,2,10,US,OH,East,2b,DEV,USOHCOGAPP902,.aws.baxter.com,APP,IBM Cognos Analytics DISP10:10000,D$\Program Files\ibm\cognos\analytics\DISP10,11,1,1,1,5,5,,
